#  gamma_0, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, 
# 
4.671699999999999875e+01 9.969039999999999679e+01 5.166100000000000136e+01 5.332240000000000313e-01 6.045399999999999663e-01 3.004140000000000033e+00 8.674720000000000653e+01 1.216990000000000009e+03 1.750990000000000046e-01 3.668390000000000262e-01 3.852209999999999912e+00 1.071149999999999913e+01
2.320700000000000074e+01 9.974939999999999429e+01 5.161249999999999716e+01 3.164839999999999876e+00 6.066110000000000113e-01 3.017459999999999809e+00 9.197709999999999297e+01 1.948750000000000000e+03 6.282239999999999824e+00 4.292300000000000004e-01 4.519969999999999821e+00 1.131920000000000037e+01
2.430529999999999902e+01 9.972209999999999752e+01 5.165639999999999787e+01 5.679829999999999934e+00 6.003720000000000168e-01 3.046450000000000102e+00 9.047150000000000603e+01 1.682920000000000073e+03 8.188790000000000235e-01 3.357510000000000217e-01 4.478539999999999743e+00 9.275489999999999569e+00
3.073379999999999868e+01 9.895170000000000243e+01 5.162879999999999825e+01 2.781390000000000029e+00 5.926420000000000021e-01 3.066590000000000149e+00 9.288639999999999475e+01 1.439710000000000036e+03 5.605889999999999596e+00 3.003299999999999859e-01 4.072510000000000296e+00 1.058210000000000051e+01
2.749960000000000093e+01 9.960129999999999484e+01 5.159759999999999991e+01 4.637400000000000411e+00 5.941750000000000087e-01 3.024900000000000144e+00 9.865609999999999502e+01 1.486470000000000027e+03 3.208369999999999944e+00 2.777560000000000029e-01 4.086680000000000312e+00 9.103949999999999321e+00
2.792000000000000171e+01 9.951810000000000400e+01 5.167009999999999792e+01 2.892490000000000006e+00 6.118820000000000370e-01 3.082889999999999908e+00 9.204330000000000211e+01 1.667720000000000027e+03 5.370510000000000339e+00 3.478800000000000225e-01 4.400369999999999671e+00 8.617219999999999658e+00
3.777490000000000236e+01 9.953060000000000684e+01 5.159740000000000038e+01 3.489240000000000119e+00 5.949229999999999796e-01 3.003049999999999997e+00 9.102599999999999625e+01 1.428990000000000009e+03 6.638770000000000504e-01 3.706769999999999787e-01 4.129010000000000069e+00 9.638650000000000162e+00
3.236950000000000216e+01 9.970340000000000202e+01 5.162469999999999715e+01 4.460009999999999586e+00 5.841899999999999871e-01 2.994839999999999947e+00 9.528209999999999980e+01 1.492160000000000082e+03 4.883840000000000181e+00 3.460539999999999727e-01 4.199180000000000135e+00 9.672040000000000859e+00
2.869860000000000078e+00 9.985169999999999391e+01 5.164309999999999690e+01 4.213309999999999889e+00 5.983899999999999775e-01 3.016430000000000167e+00 9.811679999999999779e+01 3.383219999999999800e+03 5.037840000000000096e+00 5.674609999999999932e-01 4.818699999999999761e+00 1.129199999999999982e+01
2.350009999999999977e+01 9.692010000000000502e+01 5.165209999999999724e+01 5.676529999999999632e+00 5.885190000000000143e-01 3.003340000000000121e+00 8.952460000000000662e+01 2.116889999999999873e+03 1.600209999999999914e-03 4.680659999999999821e-01 4.526449999999999640e+00 8.521190000000000708e+00
1.403030000000000044e+01 9.903610000000000468e+01 5.164220000000000255e+01 4.928499999999999659e+00 6.126179999999999959e-01 3.009799999999999809e+00 9.669700000000000273e+01 2.107059999999999945e+03 3.732759999999999856e+00 4.110500000000000265e-01 4.616319999999999979e+00 9.784950000000000259e+00
