#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
3.754279999999999973e+01 9.119989999999999952e+01 9.830370000000000346e+02 1.082999999999999963e+00 5.273759999999999559e-01 3.630259999999999820e+00 5.466519999999999868e+01
2.962059999999999960e+01 9.822069999999999368e+01 5.349790000000000418e+02 1.972420000000000007e-01 4.257830000000000226e-01 2.925689999999999902e+00 6.362810000000000343e+01
3.711800000000000210e+01 9.521519999999999584e+01 5.259059999999999491e+02 5.640109999999999957e+00 3.590670000000000250e-01 2.996100000000000207e+00 5.397359999999999758e+01
5.177380000000000138e+01 7.938779999999999859e+01 9.828070000000000164e+02 3.696950000000000180e+00 5.028970000000000384e-01 3.472589999999999844e+00 5.050659999999999883e+01
4.948749999999999716e+01 6.915519999999999357e+01 5.276369999999999436e+02 2.138869999999999827e+00 2.973649999999999904e-01 2.078079999999999927e+00 5.571189999999999998e+01
4.438649999999999807e+01 8.044830000000000325e+01 9.504980000000000473e+02 4.834789999999999921e+00 3.983700000000000019e-01 3.467299999999999827e+00 5.451830000000000354e+01
5.139059999999999917e+01 8.518359999999999843e+01 8.452709999999999582e+02 2.379950000000000010e+00 6.678150000000000475e-01 3.900310000000000166e+00 5.811480000000000246e+01
4.153770000000000095e+01 7.772929999999999495e+01 5.058419999999999845e+02 6.202630000000000088e+00 1.668880000000000086e-01 2.015039999999999942e+00 6.096359999999999957e+01
4.184409999999999741e+01 8.213379999999999370e+01 9.882809999999999491e+02 2.686269999999999936e+00 5.069599999999999662e-01 3.417060000000000208e+00 5.147890000000000299e+01
3.391689999999999827e+01 9.794240000000000634e+01 9.502980000000000018e+02 1.187869999999999981e+00 6.128770000000000051e-01 3.458720000000000017e+00 5.280010000000000048e+01
4.094680000000000319e+01 7.896380000000000621e+01 5.131860000000000355e+02 2.151600000000000179e+00 3.360580000000000234e-01 2.482429999999999914e+00 5.963960000000000150e+01
4.236869999999999692e+01 8.239610000000000412e+01 5.103969999999999914e+02 1.415939999999999976e+00 4.911059999999999870e-01 2.648769999999999847e+00 5.571690000000000254e+01
5.501480000000000103e+01 7.357699999999999818e+01 9.868360000000000127e+02 5.219850000000000101e+00 3.911000000000000032e-01 3.271049999999999791e+00 6.059570000000000078e+01
4.833630000000000138e+01 8.136960000000000548e+01 9.830019999999999527e+02 7.307620000000000227e-01 3.779970000000000274e-01 3.554260000000000197e+00 5.113360000000000127e+01
3.294460000000000122e+01 8.165789999999999793e+01 4.938600000000000136e+02 8.078950000000000298e-01 2.095019999999999938e-01 2.934260000000000090e+00 6.120830000000000126e+01
4.386280000000000001e+01 8.626309999999999434e+01 9.090529999999999973e+02 6.220080000000000275e+00 5.883110000000000284e-01 3.892339999999999911e+00 6.319950000000000045e+01
5.272950000000000159e+01 8.555790000000000362e+01 9.334450000000000500e+02 4.236629999999999896e+00 5.235910000000000286e-01 3.143489999999999895e+00 5.565240000000000009e+01
4.578710000000000235e+01 8.946909999999999741e+01 9.343509999999999991e+02 4.749300000000000188e-01 6.322820000000000107e-01 4.189860000000000362e+00 6.173519999999999897e+01
4.949620000000000175e+01 7.487009999999999366e+01 5.199660000000000082e+02 4.003809999999999647e+00 3.282320000000000237e-01 2.729709999999999859e+00 6.760599999999999454e+01
