#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
-8.093799999999999883e+00 9.790279999999999916e+01 1.907640000000000100e+02 1.774119999999999919e+00 3.167539999999999800e-01 3.469329999999999803e+00 6.679190000000000182e+00
-1.971809999999999974e+01 9.748900000000000432e+01 1.930819999999999936e+02 1.875520000000000076e+00 2.591209999999999902e-01 3.627180000000000071e+00 1.833399999999999963e+01
-3.210700000000000109e+00 9.344819999999999993e+01 1.871349999999999909e+02 1.249260000000000037e+00 3.284159999999999857e-01 3.232079999999999842e+00 3.789189999999999919e-02
-4.026180000000000092e+00 8.958549999999999613e+01 1.865480000000000018e+02 1.148190000000000044e+00 2.410569999999999935e-01 3.142549999999999955e+00 2.291479999999999961e+00
-7.809759999999999813e+00 9.445180000000000575e+01 1.885169999999999959e+02 1.398109999999999964e+00 2.166959999999999997e-01 3.285590000000000011e+00 1.248220000000000107e+00
-5.226319999999999766e+01 9.209279999999999688e+01 3.766549999999999727e+02 1.674970000000000070e+00 2.044870000000000021e-01 9.110780000000000545e-01 1.395780000000000065e+01
-6.780780000000000030e+00 9.364159999999999684e+01 1.951009999999999991e+02 1.898369999999999891e+00 1.878569999999999962e-01 4.148690000000000211e+00 2.546140000000000114e+01
-3.028010000000000090e+01 9.304139999999999588e+01 3.786689999999999827e+02 1.255980000000000096e+00 4.268750000000000044e-01 1.945629999999999971e+00 1.418859999999999921e+01
-1.696199999999999974e+01 8.994809999999999661e+01 1.908899999999999864e+02 1.378949999999999898e+00 1.475869999999999960e-01 3.782579999999999831e+00 7.605940000000000367e+00
-3.884960000000000235e+01 9.743160000000000309e+01 3.767409999999999854e+02 1.374120000000000008e+00 3.549559999999999937e-01 1.466539999999999955e+00 1.056600000000000072e+01
-5.132820000000000249e+01 9.832380000000000564e+01 3.823480000000000132e+02 1.762280000000000069e+00 3.422529999999999739e-01 1.248769999999999936e+00 2.643809999999999771e-01
-3.914759999999999707e+01 8.965810000000000457e+01 3.821510000000000105e+02 1.741079999999999961e+00 3.949630000000000085e-01 1.384249999999999980e+00 1.115039999999999942e+01
-4.962780000000000058e+01 9.358969999999999345e+01 3.881329999999999814e+02 2.118259999999999810e+00 3.346100000000000185e-01 1.232890000000000041e+00 2.049699999999999989e+01
-2.408450000000000202e+00 9.859560000000000457e+01 1.903379999999999939e+02 1.190330000000000110e+00 2.217600000000000127e-01 3.792079999999999895e+00 1.684120000000000061e+01
2.498359999999999914e+00 8.102360000000000184e+01 1.864199999999999875e+02 2.741439999999999988e-01 1.658040000000000069e-01 4.235850000000000115e+00 2.329279999999999973e+01
-2.053740000000000165e+01 9.916419999999999391e+01 1.922949999999999875e+02 2.276590000000000114e+00 3.117010000000000058e-01 3.047010000000000218e+00 1.645080000000000098e+01
