#  gamma_0, gamma_1, gamma_2, gamma_3, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, sigma_1, sigma_2, sigma_3, 
# 
-4.960819999999999652e+01 1.002650000000000041e+01 3.817059999999999945e+03 3.817039999999999964e+03 9.969339999999999691e+01 5.164309999999999690e+01 3.933310000000000084e+00 6.051879999999999482e-01 3.051890000000000214e+00 9.860739999999999839e+01 2.433800000000000182e+03 5.757550000000000168e+00 4.444009999999999905e-01 4.637139999999999596e+00 1.732769999999999866e-01 8.495570000000000732e+00 1.262160000000000082e+01 1.143009999999999948e+01
-5.180789999999999651e+01 5.404589999999999783e+00 3.818500000000000000e+03 3.815539999999999964e+03 9.946630000000000393e+01 2.424159999999999854e+03 5.655369999999999564e+00 4.207110000000000016e-01 4.733189999999999564e+00 9.996949999999999648e+01 5.164159999999999684e+01 1.546550000000000091e+00 6.029029999999999667e-01 3.045479999999999965e+00 8.012980000000000658e+00 1.045439999999999969e+01 1.356889999999999930e+01 1.084299999999999997e+01
-5.220280000000000342e+01 4.343700000000000117e+00 3.814210000000000036e+03 3.820730000000000018e+03 9.986339999999999861e+01 2.465530000000000200e+03 5.583949999999999747e+00 4.233589999999999853e-01 4.712640000000000384e+00 9.986830000000000496e+01 5.164479999999999649e+01 1.475700000000000012e+00 6.002429999999999710e-01 3.055109999999999992e+00 4.040469999999999895e-01 9.965419999999999945e+00 1.011599999999999966e+01 1.016619999999999990e+01
-5.466179999999999950e+01 3.213330000000000020e+00 3.813840000000000146e+03 3.820780000000000200e+03 9.977519999999999811e+01 2.470280000000000200e+03 4.991150000000000198e+00 4.128200000000000203e-01 4.775249999999999773e+00 9.951699999999999591e+01 5.164390000000000214e+01 2.302299999999999791e+00 6.140269999999999895e-01 3.060719999999999885e+00 6.579220000000000290e+00 1.041530000000000022e+01 1.071349999999999980e+01 1.429470000000000063e+01
-5.088190000000000168e+01 6.680550000000000210e+00 3.814449999999999818e+03 3.818000000000000000e+03 9.944679999999999609e+01 2.467590000000000146e+03 4.513060000000000294e+00 4.506020000000000025e-01 4.706059999999999910e+00 9.986249999999999716e+01 5.164719999999999800e+01 2.490510000000000002e+00 6.086850000000000316e-01 3.060999999999999943e+00 3.704489999999999728e-01 1.003470000000000084e+01 1.504320000000000057e+01 1.415779999999999994e+01
-5.176319999999999766e+01 6.142870000000000275e+00 3.808250000000000000e+03 3.817440000000000055e+03 9.958559999999999945e+01 5.163389999999999702e+01 1.044289999999999941e+00 5.988289999999999447e-01 3.024129999999999985e+00 9.993540000000000134e+01 2.448039999999999964e+03 4.855459999999999887e+00 4.167779999999999818e-01 4.724219999999999864e+00 6.593149999999999622e+00 1.002239999999999931e+01 1.037889999999999979e+01 1.397760000000000069e+01
-5.156719999999999970e+01 7.612280000000000157e+00 3.818039999999999964e+03 3.816349999999999909e+03 9.998220000000000596e+01 5.164379999999999882e+01 1.920060000000000100e+00 6.071530000000000538e-01 3.035309999999999953e+00 9.904430000000000689e+01 2.472530000000000200e+03 4.426529999999999632e+00 4.409279999999999866e-01 4.675659999999999705e+00 9.465120000000000478e-02 1.011430000000000007e+01 1.047039999999999971e+01 1.528129999999999988e+01
-5.466179999999999950e+01 3.213330000000000020e+00 3.813840000000000146e+03 3.820780000000000200e+03 9.977519999999999811e+01 2.470280000000000200e+03 4.991150000000000198e+00 4.128200000000000203e-01 4.775249999999999773e+00 9.951699999999999591e+01 5.164390000000000214e+01 2.302299999999999791e+00 6.140269999999999895e-01 3.060719999999999885e+00 6.579220000000000290e+00 1.041530000000000022e+01 1.071349999999999980e+01 1.429470000000000063e+01
-4.970490000000000208e+01 1.191740000000000066e+01 3.816349999999999909e+03 3.821460000000000036e+03 9.999179999999999779e+01 5.163400000000000034e+01 1.819450000000000012e+00 6.004450000000000065e-01 3.061690000000000023e+00 9.954879999999999995e+01 2.477389999999999873e+03 4.121400000000000396e+00 4.754260000000000153e-01 4.646939999999999849e+00 4.645969999999999961e-02 1.000789999999999935e+01 1.572589999999999932e+01 9.089539999999999509e+00
-4.989939999999999998e+01 1.087969999999999970e+01 3.814469999999999800e+03 3.819719999999999800e+03 9.924439999999999884e+01 2.492480000000000018e+03 4.045969999999999622e+00 4.488340000000000107e-01 4.691720000000000113e+00 9.917730000000000246e+01 5.164580000000000126e+01 6.160459999999999825e-01 6.004310000000000480e-01 3.052410000000000068e+00 2.746100000000000207e+00 1.010449999999999982e+01 1.141709999999999958e+01 1.228570000000000029e+01
-5.018269999999999698e+01 5.804380000000000095e+00 3.806550000000000182e+03 3.819010000000000218e+03 9.942069999999999652e+01 2.431260000000000218e+03 5.404779999999999696e+00 4.412209999999999743e-01 4.707130000000000258e+00 9.964010000000000389e+01 5.164139999999999731e+01 5.050970000000000182e-01 6.005160000000000498e-01 3.066500000000000004e+00 1.551290000000000058e+00 1.007210000000000072e+01 1.419319999999999915e+01 1.084839999999999982e+01
-5.121179999999999666e+01 8.055630000000000734e+00 3.811710000000000036e+03 3.819929999999999836e+03 9.887340000000000373e+01 5.164629999999999654e+01 3.955929999999999946e+00 6.036390000000000366e-01 3.012109999999999843e+00 9.970980000000000132e+01 2.453309999999999945e+03 5.850480000000000125e+00 4.451080000000000036e-01 4.698649999999999771e+00 6.053200000000000358e+00 9.912340000000000373e+00 1.269100000000000072e+01 1.148889999999999922e+01
-5.320100000000000051e+01 7.451959999999999695e+00 3.819420000000000073e+03 3.820079999999999927e+03 9.962059999999999604e+01 5.164629999999999654e+01 3.952280000000000015e+00 6.191630000000000189e-01 3.016099999999999781e+00 9.966160000000000707e+01 2.453309999999999945e+03 5.836430000000000007e+00 4.318049999999999944e-01 4.723989999999999689e+00 4.557619999999999727e-02 9.343109999999999360e+00 1.724299999999999855e+01 1.224140000000000050e+01
-5.359550000000000125e+01 2.929650000000000087e+00 3.813960000000000036e+03 3.820070000000000164e+03 9.980349999999999966e+01 5.164739999999999753e+01 3.852920000000000122e+00 6.050360000000000182e-01 3.085830000000000073e+00 9.959420000000000073e+01 2.416929999999999836e+03 5.460180000000000256e+00 4.036370000000000235e-01 4.773839999999999861e+00 4.009579999999999700e+00 1.017849999999999966e+01 9.587460000000000093e+00 1.015629999999999988e+01
-5.294149999999999778e+01 7.195649999999999658e+00 3.812050000000000182e+03 3.819389999999999873e+03 9.997169999999999845e+01 2.460590000000000146e+03 5.593169999999999753e+00 4.395660000000000123e-01 4.688080000000000247e+00 9.994759999999999422e+01 5.164479999999999649e+01 1.524799999999999933e+00 6.107069999999999999e-01 3.015420000000000211e+00 2.216689999999999980e-02 1.122000000000000064e+01 1.414039999999999964e+01 1.390320000000000000e+01
-5.267969999999999686e+01 7.641580000000000261e+00 3.808360000000000127e+03 3.817900000000000091e+03 9.966589999999999350e+01 2.473019999999999982e+03 5.686060000000000336e+00 4.481249999999999956e-01 4.664100000000000357e+00 9.990489999999999782e+01 5.163510000000000133e+01 1.581110000000000015e+00 6.209209999999999452e-01 3.009640000000000093e+00 2.940059999999999896e-01 9.534959999999999880e+00 1.050960000000000072e+01 1.213829999999999920e+01
-5.628079999999999927e+01 2.604579999999999895e+00 3.812949999999999818e+03 3.818030000000000200e+03 9.959180000000000632e+01 2.424110000000000127e+03 5.481449999999999712e+00 3.930830000000000157e-01 4.825330000000000119e+00 9.994299999999999784e+01 5.164050000000000296e+01 1.529230000000000089e+00 6.159729999999999928e-01 3.064760000000000151e+00 4.130049999999999777e+00 9.793490000000000251e+00 9.935230000000000672e+00 1.274859999999999971e+01
-5.112480000000000047e+01 6.382390000000000008e+00 3.811590000000000146e+03 3.820820000000000164e+03 9.979049999999999443e+01 2.474840000000000146e+03 3.962860000000000049e+00 4.458639999999999826e-01 4.696089999999999876e+00 9.995789999999999509e+01 5.164939999999999998e+01 2.692289999999999850e+00 5.972319999999999851e-01 3.028010000000000090e+00 1.515070000000000028e-01 9.478239999999999554e+00 1.455860000000000021e+01 1.213199999999999967e+01
-4.948790000000000333e+01 8.502700000000000813e+00 3.813320000000000164e+03 3.818849999999999909e+03 9.956100000000000705e+01 2.450809999999999945e+03 5.769589999999999996e+00 4.478059999999999818e-01 4.628219999999999779e+00 9.987290000000000134e+01 5.165140000000000242e+01 1.611159999999999926e+00 6.073589999999999822e-01 3.060849999999999849e+00 4.467549999999999993e-02 1.114760000000000062e+01 1.590579999999999927e+01 7.869469999999999743e+00
-4.967240000000000322e+01 7.317190000000000083e+00 3.813019999999999982e+03 3.815019999999999982e+03 9.993649999999999523e+01 5.164690000000000225e+01 9.944589999999999819e-01 6.016000000000000236e-01 3.047330000000000094e+00 9.965800000000000125e+01 2.452849999999999909e+03 4.707860000000000156e+00 4.280999999999999805e-01 4.634940000000000282e+00 1.244830000000000068e-02 9.890620000000000189e+00 1.402529999999999966e+01 8.846949999999999648e+00
-5.286149999999999949e+01 4.177019999999999733e+00 3.813739999999999782e+03 3.821030000000000200e+03 9.984910000000000707e+01 5.164569999999999794e+01 4.154120000000000035e-01 6.016740000000000421e-01 3.030429999999999957e+00 9.959279999999999688e+01 2.456840000000000146e+03 2.297099999999999920e+00 4.131440000000000112e-01 4.739499999999999602e+00 4.211529999999999774e+00 1.083840000000000003e+01 1.224690000000000012e+01 1.142379999999999995e+01
-5.074069999999999681e+01 7.252939999999999721e+00 3.814650000000000091e+03 3.818400000000000091e+03 9.929579999999999984e+01 2.424119999999999891e+03 5.572339999999999627e+00 4.387699999999999934e-01 4.709139999999999660e+00 9.967159999999999798e+01 5.164050000000000296e+01 1.515619999999999967e+00 6.035139999999999949e-01 3.039179999999999993e+00 4.949650000000000105e+00 9.085250000000000270e+00 1.172770000000000046e+01 1.131930000000000014e+01
-5.616290000000000049e+01 4.390550000000000175e+00 3.810159999999999854e+03 3.823219999999999800e+03 9.998130000000000450e+01 5.164470000000000027e+01 9.586700000000000221e-01 6.037789999999999546e-01 3.066539999999999822e+00 9.978459999999999752e+01 2.462730000000000018e+03 4.722819999999999574e+00 4.135329999999999839e-01 4.732920000000000016e+00 6.706800000000000317e+00 9.045959999999999113e+00 1.072369999999999912e+01 1.024949999999999939e+01
